업종명,업소명,소재지(도로명),소재지(지번),영업자시작일,업태명
일반음식점,노가리,"서울특별시 동대문구 장한로 65, 1층 (장안동)",서울특별시 동대문구 장안동 375-4 지상1층 ,2022-04-27,한식
일반음식점,능이갈비탕 능이삼계탕,"서울특별시 동대문구 약령시로 56, 1층 (제기동)",서울특별시 동대문구 제기동 892-108 1층 ,2015-06-08,한식
일반음식점,매운도리집,"서울특별시 동대문구 천호대로 13, 1층 (신설동)",서울특별시 동대문구 신설동 102-14 지상1층 ,2019-02-11,한식
일반음식점,뚜띠쿠치나 용두점,"서울특별시 동대문구 무학로 140, 1층 101호 (용두동)",서울특별시 동대문구 용두동 119-15 지상1층101호 ,2014-07-18,한식
일반음식점,수상한식당,"서울특별시 동대문구 왕산로9길 31, 1층 (용두동)",서울특별시 동대문구 용두동 219-4 1층 ,2020-03-17,한식
일반음식점,백돈,"서울특별시 동대문구 전농로 94, 1층 (답십리동)",서울특별시 동대문구 답십리동 68-1 1층 ,2014-07-22,한식
일반음식점,굽네치킨(용두신설점),"서울특별시 동대문구 안암로 40, 1층 (용두동)",서울특별시 동대문구 용두동 732-5 자상1층 ,2014-07-25,통닭(치킨)
일반음식점,성수면옥 청량리점,"서울특별시 동대문구 왕산로 214, 7층 (전농동, 롯데백화점)",서울특별시 동대문구 전농동 591-53 롯데백화점 7층 ,2020-10-16,한식
일반음식점,설빙 장안점,"서울특별시 동대문구 장한로 130, 2층 202호 (장안동)",서울특별시 동대문구 장안동 368-4 2층 202호,2020-08-12,까페
일반음식점,청산호프,"서울특별시 동대문구 왕산로 225, A동 1층 20호 (청량리동, 미주상가)",서울특별시 동대문구 청량리동 235-4 미주상가A동1층20호 ,2014-07-31,호프/통닭
일반음식점,후라이드참잘하는집,"서울특별시 동대문구 한천로10길 39, 지상1층 (장안동)",서울특별시 동대문구 장안동 192-15 ,2014-12-31,통닭(치킨)
일반음식점,더빙스,"서울특별시 동대문구 전농로3길 78-1, 1,2층 (답십리동)","서울특별시 동대문구 답십리동 253-12 지상1,2층 ",2015-01-09,경양식
일반음식점,신설동사람들,"서울특별시 동대문구 한빛로 33-2, 1층 (신설동)",서울특별시 동대문구 신설동 396-7 1층 ,2017-05-18,호프/통닭
일반음식점,압구정제주집(押鷗亭濟州緝),"서울특별시 동대문구 장한로5길 51, 1층 (장안동)",서울특별시 동대문구 장안동 403-4 ,2021-07-09,일식
일반음식점,빈칸(BEAN KHAN),"서울특별시 동대문구 망우로21길 52, C동 1층 (휘경동)",서울특별시 동대문구 휘경동 192-5 ,2014-08-27,한식
일반음식점,임진강 메기매운탕,"서울특별시 동대문구 장한로12길 15, 1층 (장안동)",서울특별시 동대문구 장안동 360-8 1층 ,2015-05-27,한식
일반음식점,동래파전,"서울특별시 동대문구 천호대로 231, 1층 (답십리동)",서울특별시 동대문구 답십리동 465-137 1층 ,2019-07-12,한식
일반음식점,아빠분식,"서울특별시 동대문구 망우로18가길 31, 1층 (휘경동)",서울특별시 동대문구 휘경동 286-22 1층 ,2017-10-30,한식
일반음식점,히어로,"서울특별시 동대문구 천장산로 22-1, 1층 (이문동)",서울특별시 동대문구 이문동 264-77 1층 ,2014-09-02,기타
일반음식점,마시께매운떡볶이,"서울특별시 동대문구 안암로 68, 1층 (용두동)",서울특별시 동대문구 용두동 727-2 1층 ,2017-02-27,한식
일반음식점,일품양평해장국,"서울특별시 동대문구 천호대로69길 12, 1층 108호 (답십리동, 골든메카)",서울특별시 동대문구 답십리동 530-8 골든메카1층108호 ,2021-05-26,경양식
일반음식점,호미,"서울특별시 동대문구 안암로20길 7-15, 지하1층 (제기동)",서울특별시 동대문구 제기동 137-65 ,2014-09-16,한식
일반음식점,푸드김밥,"서울특별시 동대문구 왕산로9길 6, 1층 (용두동)",서울특별시 동대문구 용두동 233-30 1층 ,2020-01-30,한식
일반음식점,인생극장,"서울특별시 동대문구 사가정로 15-1, 지하1층 (답십리동)",서울특별시 동대문구 답십리동 467-17 지하1층 ,2014-09-18,한식
일반음식점,페르비타(PERVITA),"서울특별시 동대문구 장한로 158, 1층 102호 (장안동, 대흥빌딩)",서울특별시 동대문구 장안동 310-4 대흥빌딩1층102호 ,2018-04-12,경양식
일반음식점,쏠래다이닝,"서울특별시 동대문구 왕산로2길 9, 2층 (신설동)",서울특별시 동대문구 신설동 98-17 지상2층 ,2017-02-02,경양식
일반음식점,갈비가맛있는집,"서울특별시 동대문구 왕산로 290, 1층 (전농동)",서울특별시 동대문구 전농동 101-10 1층 ,2014-10-06,한식
일반음식점,하루,"서울특별시 동대문구 답십리로 309, 1층 (장안동)",서울특별시 동대문구 장안동 331-4 지상1층 ,2014-10-07,분식
일반음식점,부르네,"서울특별시 동대문구 답십리로65길 80, 1층 (장안동)",서울특별시 동대문구 장안동 289-13 지상1층 ,2014-10-14,한식
일반음식점,상구통닭&봉봉떡볶이,"서울특별시 동대문구 답십리로 151, 1층 (답십리동)",서울특별시 동대문구 답십리동 244-2 지상1층 ,2019-01-30,호프/통닭
일반음식점,서희,"서울특별시 동대문구 망우로 91, 1층 (휘경동)",서울특별시 동대문구 휘경동 77-8 1층 ,2014-10-17,기타
일반음식점,별이와달마차,"서울특별시 동대문구 답십리로56길 32, 지하1층 (답십리동)",서울특별시 동대문구 답십리동 49-44 지하1층 ,2014-10-17,분식
일반음식점,잭아저씨보쌈,"서울특별시 동대문구 장한로 65, 1층 (장안동)",서울특별시 동대문구 장안동 375-4 1층 ,2016-03-21,한식
