업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명
일반음식점,2004-05-01,헬로우돈까스,서울특별시 중랑구 동일로101길 45 (면목동),서울특별시 중랑구 면목동 178-48 ,33.67,한식
일반음식점,2004-09-09,지리산민속주점,서울특별시 중랑구 면목로 345 (면목동),서울특별시 중랑구 면목동 498-3 ,73.7,호프/통닭
일반음식점,2004-09-23,또래오래,서울특별시 중랑구 신내로12길 36 (신내동),서울특별시 중랑구 신내동 580-1 ,24.7,통닭(치킨)
일반음식점,2004-10-22,소꼴농장,서울특별시 중랑구 봉우재로 132 (면목동),서울특별시 중랑구 면목동 91-64 ,82,한식
일반음식점,2004-11-09,삼대(三代)신(辛)냉면,서울특별시 중랑구 겸재로 193 (면목동),서울특별시 중랑구 면목동 102-13 ,66.7,한식
일반음식점,2004-11-15,골뱅이호프,서울특별시 중랑구 겸재로 263 (망우동),서울특별시 중랑구 망우동 531-35 ,24.2,호프/통닭
일반음식점,2004-11-19,술도가,서울특별시 중랑구 동일로123길 63 (중화동),서울특별시 중랑구 중화동 316-74 ,50.29,정종/대포집/소주방
일반음식점,2005-03-29,참맛깔,"서울특별시 중랑구 면목로74길 7, 1층 (면목동)",서울특별시 중랑구 면목동 121-24 1층 ,27.8,한식
일반음식점,2005-04-06,생막창,서울특별시 중랑구 면목로 368 (면목동),서울특별시 중랑구 면목동 412-3 ,28.2,한식
일반음식점,2005-05-24,참전복,서울특별시 중랑구 봉우재로33길 20 (상봉동),서울특별시 중랑구 상봉동 106-17 ,18.7,한식
일반음식점,2005-06-28,스타호프,서울특별시 중랑구 상봉로 61 (면목동),서울특별시 중랑구 면목동 87-65 ,49.9,호프/통닭
일반음식점,2005-07-22,신천아구찜·탕,서울특별시 중랑구 사가정로49길 33 (면목동),서울특별시 중랑구 면목동 593-31 ,27.8,호프/통닭
일반음식점,2005-08-24,에브리돈,서울특별시 중랑구 면목로91길 9 (상봉동),서울특별시 중랑구 상봉동 108-22 ,94.8,한식
일반음식점,2005-09-13,진국설렁탕,서울특별시 중랑구 용마산로115길 102 (망우동),서울특별시 중랑구 망우동 563-11 ,122.2,한식
일반음식점,2005-10-12,쭈사랑,"서울특별시 중랑구 동일로109길 42, 1층 (면목동)",서울특별시 중랑구 면목동 184-19 ,76.63,한식
일반음식점,2005-10-24,엘리트(ELITE),서울특별시 중랑구 상봉로 97-1 (상봉동),서울특별시 중랑구 상봉동 84-8 ,75.9,호프/통닭
일반음식점,2005-10-24,찡어찡어,서울특별시 중랑구 면목로 454 (면목동),서울특별시 중랑구 면목동 91-65 ,32.8,한식
일반음식점,2005-11-11,장수버섯마을,서울특별시 중랑구 망우로30길 36 (면목동),서울특별시 중랑구 면목동 186-139 ,63.03,한식
일반음식점,2005-11-17,먹골솥뚜껑삼겹살,서울특별시 중랑구 공릉로2길 46 (묵동),서울특별시 중랑구 묵동 121-128 ,42.02,한식
일반음식점,2005-11-21,토평원조할매집,"서울특별시 중랑구 봉우재로 192, 1층 (망우동)",서울특별시 중랑구 망우동 517-27 ,53.5,한식
일반음식점,2005-12-01,온누리칼국수,서울특별시 중랑구 동일로130길 27 (중화동),서울특별시 중랑구 중화동 288-8 ,26.4,한식
일반음식점,2005-12-05,산골,서울특별시 중랑구 망우로71길 29 (망우동),서울특별시 중랑구 망우동 355-22 ,42.5,한식
일반음식점,2005-12-14,본죽(면목사가정역점),서울특별시 중랑구 사가정로 407 (면목동),서울특별시 중랑구 면목동 472-62 ,29.7,한식
일반음식점,2005-12-15,능이오리마을,서울특별시 중랑구 면목로43길 26 (면목동),서울특별시 중랑구 면목동 600-53 ,29.7,한식
일반음식점,2005-12-30,낭만포차,서울특별시 중랑구 동일로 607 (면목동),서울특별시 중랑구 면목동 172-1 ,24.8,정종/대포집/소주방
일반음식점,2006-02-02,치킨랏대,서울특별시 중랑구 공릉로2길 17 (묵동),서울특별시 중랑구 묵동 173-46 ,24.5,통닭(치킨)
일반음식점,2006-02-16,빨간입술,서울특별시 중랑구 용마산로94가길 31 (면목동),서울특별시 중랑구 면목동 14-13 ,17.1,분식
일반음식점,2006-02-27,퀸호프,서울특별시 중랑구 면목로55길 10 (면목동),서울특별시 중랑구 면목동 501-5 ,35.3,호프/통닭
일반음식점,2006-04-26,왕짜장,서울특별시 중랑구 사가정로53길 32 (면목동),서울특별시 중랑구 면목동 461-38 ,53.3,중국식
일반음식점,2006-05-19,순화,서울특별시 중랑구 중랑역로 112 (중화동),서울특별시 중랑구 중화동 307-39 ,129.65,호프/통닭
일반음식점,2006-06-02,능이버섯백숙,"서울특별시 중랑구 공릉로 32, B01호 (묵동, 공감대아파트)",서울특별시 중랑구 묵동 171-4 공감대아파트 B01호 ,114.81,한식
일반음식점,2006-06-13,폼,서울특별시 중랑구 망우로30길 22 (상봉동),서울특별시 중랑구 상봉동 136-84 ,86.4,호프/통닭
일반음식점,2006-06-22,오징어나라,서울특별시 중랑구 용마산로 415 (면목동),서울특별시 중랑구 면목동 20-40 ,82.5,횟집
일반음식점,2006-06-26,세계맥주전문점바글,"서울특별시 중랑구 망우로 426 (망우동,2층2호)",서울특별시 중랑구 망우동 470-1 2층2호 ,113.54,호프/통닭
일반음식점,2006-06-29,이런곳도있네,서울특별시 중랑구 면목로 223 (면목동),서울특별시 중랑구 면목동 390-23 ,21.24,한식
일반음식점,2006-07-28,밀밭,"서울특별시 중랑구 동일로 838, 지하1층 (중화동)",서울특별시 중랑구 중화동 283-3 ,84,호프/통닭
일반음식점,2006-08-24,완도수산,서울특별시 중랑구 사가정로50길 30 (면목동),서울특별시 중랑구 면목동 651-9 ,39.7,일식
일반음식점,2006-08-30,고가네등갈비,서울특별시 중랑구 겸재로 163 (면목동),서울특별시 중랑구 면목동 119-58 ,48.56,한식
일반음식점,2006-09-12,호프나라,"서울특별시 중랑구 용마산로117길 19 (망우동, 1층)",서울특별시 중랑구 망우동 487-11 ,39.03,호프/통닭
일반음식점,2006-09-25,도너리감자탕(묵동점),서울특별시 중랑구 중랑역로 204 (묵동),서울특별시 중랑구 묵동 239-134 ,130.22,한식
일반음식점,2006-09-26,일억조,"서울특별시 중랑구 망우로 216-11, 1층 (상봉동)",서울특별시 중랑구 상봉동 129-68 지상1층 ,15,호프/통닭
일반음식점,2006-10-09,쉼터,서울특별시 중랑구 망우로 216-11 (상봉동),서울특별시 중랑구 상봉동 129-68 ,14.05,까페
일반음식점,2006-10-11,아이러브푸드,서울특별시 중랑구 봉화산로4길 10 (중화동),서울특별시 중랑구 중화동 329-10 ,28.38,한식
일반음식점,2006-11-23,예향양꼬치,서울특별시 중랑구 중랑역로 38 (중화동),서울특별시 중랑구 중화동 300-40 ,27.26,정종/대포집/소주방
일반음식점,2006-12-08,봉평메밀,"서울특별시 중랑구 신내로 225, 152호 (신내동, 디아뜨갤러리)",서울특별시 중랑구 신내동 648 ,58.91,한식
일반음식점,2006-12-28,묵동감자바우영양족발,"서울특별시 중랑구 동일로 946, 109,9-1,13호 (묵동, 묵동신도주상복합아파트)","서울특별시 중랑구 묵동 169-10 묵동신도주상복합아파트 109,109-1,113호 ",109.58,한식
일반음식점,2006-12-29,미스터피자중화점,서울특별시 중랑구 동일로 808 (중화동),서울특별시 중랑구 중화동 285-13 ,123.95,패스트푸드
일반음식점,2007-03-13,용표철판곱창,서울특별시 중랑구 중랑천로12길 54 (상봉동),서울특별시 중랑구 상봉동 130-30 ,25.25,정종/대포집/소주방
일반음식점,2007-04-25,생고기촌,서울특별시 중랑구 면목로31길 21 (면목동),서울특별시 중랑구 면목동 370-35 ,16.76,한식
일반음식점,2007-05-02,시골순대,"서울특별시 중랑구 겸재로18길 29, 1층 (면목동)",서울특별시 중랑구 면목동 152-25 ,20.7,정종/대포집/소주방
일반음식점,2007-05-22,이모네실내포차,서울특별시 중랑구 겸재로 217-14 (면목동),서울특별시 중랑구 면목동 74-37 ,24,정종/대포집/소주방
일반음식점,2007-06-14,홍어전문,서울특별시 중랑구 면목로37길 6 (면목동),서울특별시 중랑구 면목동 633-4 ,24.61,한식
일반음식점,2007-06-14,뉴욕(New York),"서울특별시 중랑구 신내로 66, 1층 (신내동)",서울특별시 중랑구 신내동 563-2 ,25.2,패스트푸드
일반음식점,2007-06-25,아홉평의기적,서울특별시 중랑구 망우로 272 (상봉동),서울특별시 중랑구 상봉동 115-21 ,40.05,한식
일반음식점,2007-07-11,피자스쿨 중화역점,서울특별시 중랑구 동일로 806 (중화동),서울특별시 중랑구 중화동 285-6 ,41.8,패스트푸드
