업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명,데이터기준일자
일반음식점,1996-03-21,소풍나라김밥마을,서울특별시 양천구 은행정로 20 (신정동),서울특별시 양천구 신정동 1018-13 ,21.52,김밥(도시락),2022-09-30
일반음식점,1996-04-03,동원기사식당,"서울특별시 양천구 목동남로 64-1, 1층 (신정동)",서울특별시 양천구 신정동 210-6 ,53.9,한식,2022-09-30
일반음식점,1996-07-05,승리식당,"서울특별시 양천구 목동서로 70, 상가동 1층 114호 (목동, 목동신시가지아파트2단지)",서울특별시 양천구 목동 902 목동신시가지아파트2단지 ,24.5,한식,2022-09-30
일반음식점,1996-07-08,등촌샤브칼국수,"서울특별시 양천구 목동서로 35 (목동,지상 2층)",서울특별시 양천구 목동 908-31 지상 2층 ,276.39,한식,2022-09-30
일반음식점,1996-09-10,이해림아구찜,서울특별시 양천구 신목로 42 (신정동),서울특별시 양천구 신정동 296-103 ,75.65,한식,2022-09-30
일반음식점,1996-10-07,목동아구찜,"서울특별시 양천구 목동서로 213 (목동,세신비젼 지하 108호)",서울특별시 양천구 목동 923 세신비젼 지하 108호 ,64.63,한식,2022-09-30
일반음식점,1996-11-07,목동포차,"서울특별시 양천구 목동동로 260, 지하1층 (목동)",서울특별시 양천구 목동 406-202 지하1층 ,93.1,호프/통닭,2022-09-30
일반음식점,1996-11-18,무등산회관,"서울특별시 양천구 목동서로 213, 세신비젼프라자 3층 327~330호 (목동)",서울특별시 양천구 목동 923 세신비젼프라자 ,69.87,한식,2022-09-30
일반음식점,1996-11-29,이대(代)째,"서울특별시 양천구 신목로4길 45-3, 1층 (신정동)",서울특별시 양천구 신정동 119-33 1층 ,37.42,한식,2022-09-30
일반음식점,1996-12-02,제주도야지마을,"서울특별시 양천구 목동동로 431, 목동우방빌딩 3층 (목동)",서울특별시 양천구 목동 909-6 목동우방빌딩 ,67.16,한식,2022-09-30
일반음식점,1996-12-06,아웃닭 목동점,"서울특별시 양천구 목동동로 256 (목동, 지상2층)",서울특별시 양천구 목동 406-223 지상2층 ,138.57,기타,2022-09-30
일반음식점,1996-12-10,통큰갈비,"서울특별시 양천구 목동중앙본로 116-1, 지상1층 (목동)",서울특별시 양천구 목동 530-11 지상1층 ,75.04,호프/통닭,2022-09-30
일반음식점,1996-12-13,참나무집,"서울특별시 양천구 목동중앙북로 85, 지상1층 (목동)",서울특별시 양천구 목동 513-21 지상1층 ,70.2,한식,2022-09-30
일반음식점,1996-06-28,황토골,"서울특별시 양천구 가로공원로 115 (신월동,1,2층)","서울특별시 양천구 신월동 50-3 1,2층 ",94.85,한식,2022-09-30
일반음식점,1996-01-17,하루종일오후(호프),"서울특별시 양천구 신목로 78-1, 1층 (신정동)",서울특별시 양천구 신정동 117-36 1층 ,68,통닭(치킨),2022-09-30
일반음식점,1996-01-30,치킨주막,"서울특별시 양천구 신월로 132, 1층 (신월동)",서울특별시 양천구 신월동 1001-1 1층 ,22.52,호프/통닭,2022-09-30
일반음식점,1996-01-31,그린소주방,서울특별시 양천구 가로공원로56길 41 (신월동),서울특별시 양천구 신월동 148-8 ,23.94,호프/통닭,2022-09-30
일반음식점,1996-04-19,엉터리생고기 이대목동점,"서울특별시 양천구 목동동로 423 (목동, 이화프라자2층201,202호)","서울특별시 양천구 목동 909-8 이화프라자2층201,202호 ",112.84,한식,2022-09-30
일반음식점,1996-05-28,밥도둑,서울특별시 양천구 목동중앙북로7가길 53 (목동),서울특별시 양천구 목동 612-1 ,42.9,분식,2022-09-30
일반음식점,1996-06-03,우와돈이다,서울특별시 양천구 가로공원로64길 2 (신월동),서울특별시 양천구 신월동 148-7 ,25.28,호프/통닭,2022-09-30
일반음식점,1996-07-04,신자금성,"서울특별시 양천구 가로공원로69길 6, 1층 (신월동)",서울특별시 양천구 신월동 84-14 1층 ,21.98,중국식,2022-09-30
일반음식점,1996-07-18,포스트,서울특별시 양천구 오목로 143 (신정동),서울특별시 양천구 신정동 928-10 ,26.64,호프/통닭,2022-09-30
일반음식점,1996-08-19,아라부대찌개,"서울특별시 양천구 오목로 232, 지상1층 115, 116호 (신정동)","서울특별시 양천구 신정동 992-1 지상1층 115, 116호 ",56.28,기타,2022-09-30
일반음식점,1996-09-03,천안순대국,서울특별시 양천구 신정중앙로 99 (신정동),서울특별시 양천구 신정동 888-36 ,15.99,한식,2022-09-30
일반음식점,1996-09-10,퀸즈,"서울특별시 양천구 오목로46길 6, 1층 (신정동)",서울특별시 양천구 신정동 989-10 ,49.59,한식,2022-09-30
일반음식점,1996-09-13,홍봉자치즈굴림만두,"서울특별시 양천구 신정중앙로 72, 1층 (신정동)",서울특별시 양천구 신정동 905-18 1층 ,70.41,횟집,2022-09-30
일반음식점,1996-09-13,레드폭스바,서울특별시 양천구 월정로 95 (신월동),서울특별시 양천구 신월동 236-13 ,25.8,호프/통닭,2022-09-30
